customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_disc_bins_null,item_disc_bins_sub_twenty,item_disc_bins_sub_forty,item_disc_bins_sub_sixty,item_disc_bins_sub_eighty,item_disc_bins_sub_hundred
4485,2022-09-22,19:50:22,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,10,82.0,1,0,0,0,0,0
4486,2022-08-22,17:15:28,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,12,82.0,1,0,0,0,0,0
4487,2022-08-04,20:21:18,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,6,82.0,1,0,0,0,0,0
4488,2023-05-21,11:57:36,,San Martino Conegliano Valdobbiadene Prosecco Superiore DOCG Extra Dry 2021,1,54.0,1,0,0,0,0,0
4489,2023-03-30,17:51:27,,Il Canovino Terra Mia Rosso Veronese IGT 2019,1,45.0,1,0,0,0,0,0
4490,2023-02-18,16:37:40,BBW-WINE-492,Giusti Valpolicella Ripasso Superiore DOC Classico 2019,1,66.0,1,0,0,0,0,0
4491,2022-07-23,18:48:51,BBW-WINE-492,Giusti Valpolicella Ripasso Superiore DOC Classico 2019,1,63.0,1,0,0,0,0,0
4492,2022-06-14,20:57:04,,Bodegas Morca Flor de Goda 2020,5,58.0,1,0,0,0,0,0
4492,2022-06-14,20:57:04,BBW-WINE-003,Louis Tête Coteaux du Lyonnais Antique Bellum Blanc 2018,5,37.0,1,0,0,0,0,0
4492,2022-06-14,20:57:04,BBW-WINE-409,Giusti Amarone Della Valpolicella Classico DOCG 2017,1,148.0,1,0,0,0,0,0
4492,2022-06-14,20:57:04,,Vietti Barolo Castiglione 2017,1,107.0,1,0,0,0,0,0
4493,2023-05-02,21:26:20,,Heaps Normal Non Alcoholic Beer - Quiet XPA / 24 Pack,1,134.0,1,0,0,0,0,0
4494,2023-05-11,16:43:21,,Sing Sing Single Malt 15 years,1,138.0,1,0,0,0,0,0
4495,2023-03-15,15:12:38,,Mas Doix Doix 2017,1,197.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,,Gabriëlskloof Elodie Chenin Blanc 2021,1,64.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,,Lydian Columbia valley,1,64.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,BBW-WINE-105,Azueira O Magnânimo D. João V Reserva Branco 2018,1,41.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,BBW-WINE-131,Tussock Jumper Chenin Blanc 2019,1,33.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,,Tussock Jumper Travel Edition Sauvignon Blanc 2021,1,34.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,,Famille Perrin Luberon Blanc 2021,1,37.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,,Aurora Chateau Aurora 2017,1,80.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,,Domaine Wardy Château Les Cèdres 2015,1,105.0,0,1,0,0,0,0
4495,2023-03-15,15:12:38,,Popova Kula Altan 2018,1,39.0,0,1,0,0,0,0
4496,2023-01-22,14:26:31,BBW-WINE-970,Patrick Clerget Coteaux Bourguignons 2018,1,52.0,1,0,0,0,0,0
4496,2023-01-22,14:26:31,BBW-WINE-004,Louis Tête Coteaux du Lyonnais Antique Bellum Rouge 2018,1,38.0,1,0,0,0,0,0
4496,2023-01-22,14:26:31,BBW-WINE-253,Conde de San Cristóbal Ribera del Duero Crianza 2019,1,63.0,1,0,0,0,0,0
4496,2023-01-22,14:26:31,BBW-WINE-119,Catherine Marshall Sauvignon Blanc 2021,1,49.0,1,0,0,0,0,0
4497,2023-01-15,16:32:22,BBW-WINE-613,Pure The Winery White Wine,2,39.9,1,0,0,0,0,0
4497,2023-01-15,16:32:22,BBW-WINE-174,Torbreck Woodcutter's Semillon 2021,1,64.0,1,0,0,0,0,0
4497,2023-01-15,16:32:22,BBW-WINE-461,Chateau St Thomas Les Emirs 2015,1,59.0,1,0,0,0,0,0
4497,2023-01-15,16:32:22,BBW-WINE-678,Petra Zingari Toscana IGT 2018,1,56.0,1,0,0,0,0,0
4498,2022-12-26,17:55:24,BBW-WINE-283,Chateau Favray Pouilly-Fume 2020,6,58.0,1,0,0,0,0,0
4499,2023-07-14,20:41:55,,Marc Delienne Le Petit Nat 2021,1,59.0,1,0,0,0,0,0
4499,2023-07-14,20:41:55,,"Cantine Volpi Timorasso Colli Tortonesi ""La Zerba"" DOC 2019",1,64.0,1,0,0,0,0,0
4499,2023-07-14,20:41:55,,FitaPreta O Branco Ancestral 2019,1,62.0,1,0,0,0,0,0
4499,2023-07-14,20:41:55,,By the Glass - Beer - Kombucha,1,6.0,1,0,0,0,0,0
4500,2023-05-10,16:39:11,,Oatside,1,5.8,0,1,0,0,0,0
4501,2023-04-25,13:51:38,,By the Keg - Beer - Kombucha,1,39.9,1,0,0,0,0,0
4502,2023-03-29,18:39:13,,By the Keg - Beer - Kombucha,1,39.9,1,0,0,0,0,0
4502,2023-03-29,18:39:13,,Bruschetta Krambals - Garden Grill,1,4.1,1,0,0,0,0,0
4502,2023-03-29,18:39:13,,Bruschetta Krambals - Forest Mushrooms & Butter,1,4.1,1,0,0,0,0,0
4503,2022-08-06,23:13:25,,Budureasca Premium Tamaioasa Romaneasca 2020,1,52.0,1,0,0,0,0,0
4503,2022-08-06,23:13:25,,Curiously cauli - Plain,1,12.5,1,0,0,0,0,0
4503,2022-08-06,23:13:25,,Falwasser - Charcoal,1,7.5,1,0,0,0,0,0
4503,2022-08-06,23:13:25,,Venue,1,5.2,1,0,0,0,0,0
4504,2022-07-20,16:06:39,,Melati Classic,1,64.0,1,0,0,0,0,0
4505,2022-04-24,20:59:52,BBW-WINE-060,Auvigue Saint Veran Chenes 2018,1,49.0,1,0,0,0,0,0
4505,2022-04-24,20:59:52,,Drink almighty - Sparkling peach ginger,1,2.95,1,0,0,0,0,0
4505,2022-04-24,20:59:52,,Beer,3,9.0,1,0,0,0,0,0
4505,2022-04-24,20:59:52,,Bledsoe Family Winery Cabernet Sauvignon 2019,1,129.0,1,0,0,0,0,0
4505,2022-04-24,20:59:52,,Venue,1,54.0,1,0,0,0,0,0
4506,2022-02-15,23:13:49,,Paladin Syrah 2018,2,65.0,1,0,0,0,0,0
4507,2022-05-08,16:40:17,BBW-WINE-411,Bodegas Matsu El Picaro 2020,1,48.0,1,0,0,0,0,0
4508,2022-11-09,22:19:40,,Æblerov - Rainbow Child 2020,1,45.0,1,0,0,0,0,0
4508,2022-11-09,22:19:40,,Æblerov - VSN,1,45.0,1,0,0,0,0,0
4508,2022-11-09,22:19:40,,Tomac Marany 2020,1,88.0,1,0,0,0,0,0
4508,2022-11-09,22:19:40,,Momento Mori Rosso 2020,1,60.0,1,0,0,0,0,0
4509,2023-04-09,13:50:28,,Easter Sunday Market - Panini Pulled Beef,1,14.0,1,0,0,0,0,0
4510,2023-04-02,22:00:36,,EASTER SUNDAY MARKET EARLY BIRD TICKETS - + SWINGS & ROUNDABOUT ROSE (750ml),1,55.0,1,0,0,0,0,0
4511,2023-01-22,09:45:11,,The Foreign Affair Winery Amarosé,1,48.0,0,0,0,0,0,1
4511,2023-01-22,09:45:11,,Lomond Belladonna SMV 2018,1,48.0,0,0,0,0,0,1
4512,2022-12-22,09:45:11,BBW-WINE-756,De Toren Delicate N.V,1,52.0,0,0,0,0,0,1
4512,2022-12-22,09:45:11,,B.io Catarrato Chardonnay,1,48.0,0,0,0,0,0,1
